# M2[GeV] M1[GeV] xsec[fb] uncertainty[fb]
 515  205    56.1039     0.0214
 515  230    56.1040     0.0214
 515  255    56.1041     0.0214
 515  280    56.1042     0.0214
 515  305    56.1045     0.0214
 515  330    56.1048     0.0214
 515  355    56.1054     0.0214
 515  380    56.1064     0.0214
 515  405    56.1083     0.0214
 515  430    56.1120     0.0214
 515  455    56.0211     0.0213
 515  480    56.0564     0.0213
 515  505    56.0430     0.0211
 540    5    44.9434     0.0172
 540   30    44.9437     0.0172
 540   55    44.9437     0.0172
 540   80    44.9436     0.0172
 540  105    44.9435     0.0172
 540  130    44.9435     0.0172
 540  155    44.9434     0.0172
 540  180    44.9434     0.0172
 540  205    44.9434     0.0172
 540  230    44.9434     0.0172
 540  255    44.9434     0.0172
 540  280    44.9435     0.0172
 540  305    44.9436     0.0172
 540  330    44.9438     0.0172
 540  355    44.9441     0.0172
 540  380    44.9446     0.0172
 540  405    44.9455     0.0172
 540  430    44.9470     0.0172
 540  455    44.9501     0.0172
 540  480    44.9578     0.0172
 540  505    44.8777     0.0171
 540  530    44.9010     0.0169
 565    5    36.1932     0.0139
 565   30    36.1934     0.0139
 565   55    36.1934     0.0139
 565   80    36.1932     0.0139
 565  105    36.1932     0.0139
 565  130    36.1931     0.0139
 565  155    36.1931     0.0139
 565  180    36.1930     0.0139
 565  205    36.1930     0.0139
 565  230    36.1930     0.0139
 565  255    36.1930     0.0139
 565  280    36.1930     0.0139
 565  305    36.1930     0.0139
 565  330    36.1931     0.0139
 565  355    36.1933     0.0139
 565  380    36.1935     0.0139
 565  405    36.1940     0.0139
 565  430    36.1947     0.0139
 565  455    36.1960     0.0139
 565  480    36.1986     0.0139
 565  505    36.2052     0.0139
 565  530    36.2205     0.0139
 565  555    36.1790     0.0136
 590    5    29.4130     0.0113
 590   30    29.4132     0.0113
 590   55    29.4131     0.0113
 590   80    29.4130     0.0113
 590  105    29.4129     0.0113
 590  130    29.4129     0.0113
 590  155    29.4128     0.0113
 590  180    29.4127     0.0113
 590  205    29.4127     0.0113
 590  230    29.4126     0.0113
 590  255    29.4126     0.0113
 590  280    29.4126     0.0113
 590  305    29.4126     0.0113
 590  330    29.4126     0.0113
 590  355    29.4127     0.0113
 590  380    29.4128     0.0113
 590  405    29.4131     0.0113
 590  430    29.4134     0.0113
 590  455    29.4140     0.0113
 590  480    29.4151     0.0113
 590  505    29.3174     0.0112
 590  530    29.3229     0.0112
 590  555    29.3346     0.0112
 590  580    29.3430     0.0111
 615    5    23.8928     0.0092
 615   30    23.8930     0.0092
 615   55    23.8929     0.0092
 615   80    23.8928     0.0092
 615  105    23.8927     0.0092
 615  130    23.8926     0.0092
 615  155    23.8926     0.0092
 615  180    23.8925     0.0092
 615  205    23.8924     0.0092
 615  230    23.8924     0.0092
 615  255    23.8923     0.0092
 615  280    23.8923     0.0092
 615  305    23.8923     0.0092
 615  330    23.8923     0.0092
 615  355    23.8923     0.0092
 615  380    23.8924     0.0092
 615  405    23.8925     0.0092
 615  430    23.8927     0.0092
 615  455    23.8930     0.0092
 615  480    23.8935     0.0092
 615  505    23.8944     0.0092
 615  530    23.8964     0.0092
 615  555    23.9011     0.0092
 615  580    23.9098     0.0092
 615  605    23.8800     0.0090
 640    5    19.6026     0.0076
 640   30    19.6028     0.0076
 640   55    19.6027     0.0076
 640   80    19.6026     0.0076
 640  105    19.6025     0.0076
 640  130    19.6024     0.0076
 640  155    19.6024     0.0076
 640  180    19.6023     0.0076
 640  205    19.6022     0.0076
 640  230    19.6022     0.0076
 640  255    19.6021     0.0076
 640  280    19.6021     0.0076
 640  305    19.6020     0.0076
 640  330    19.6020     0.0076
 640  355    19.6020     0.0076
 640  380    19.6020     0.0076
 640  405    19.6021     0.0076
 640  430    19.6022     0.0076
 640  455    19.6023     0.0076
 640  480    19.6026     0.0076
 640  505    19.6030     0.0076
 640  530    19.6039     0.0076
 640  555    19.6055     0.0076
 640  580    19.5996     0.0075
 640  605    19.5958     0.0075
 640  630    19.5972     0.0074
 665    5    16.1125     0.0062
 665   30    16.1126     0.0062
 665   55    16.1125     0.0062
 665   80    16.1124     0.0062
 665  105    16.1123     0.0062
 665  130    16.1123     0.0062
 665  155    16.1122     0.0062
 665  180    16.1121     0.0062
 665  205    16.1121     0.0062
 665  230    16.1120     0.0062
 665  255    16.1119     0.0062
 665  280    16.1119     0.0062
 665  305    16.1119     0.0062
 665  330    16.1118     0.0062
 665  355    16.1118     0.0062
 665  380    16.1118     0.0062
 665  405    16.1118     0.0062
 665  430    16.1118     0.0062
 665  455    16.1119     0.0062
 665  480    16.1120     0.0062
 665  505    16.1123     0.0062
 665  530    16.1127     0.0062
 665  555    16.1134     0.0062
 665  580    16.1148     0.0062
 665  605    16.1184     0.0062
 665  630    16.1124     0.0062
 665  655    16.1134     0.0061
 690    5    13.3023     0.0051
 690   30    13.3025     0.0051
 690   55    13.3024     0.0051
 690   80    13.3023     0.0051
 690  105    13.3022     0.0051
 690  130    13.3021     0.0051
 690  155    13.3020     0.0051
 690  180    13.3020     0.0051
 690  205    13.3019     0.0051
 690  230    13.3018     0.0051
 690  255    13.3018     0.0051
 690  280    13.3017     0.0051
 690  305    13.3017     0.0051
 690  330    13.3017     0.0051
 690  355    13.3016     0.0051
 690  380    13.3016     0.0051
 690  405    13.3016     0.0051
 690  430    13.3016     0.0051
 690  455    13.3016     0.0051
 690  480    13.3017     0.0051
 690  505    13.3018     0.0051
 690  530    13.3020     0.0051
 690  555    13.3023     0.0051
 690  580    13.3030     0.0051
 690  605    13.3042     0.0051
 690  630    13.3073     0.0051
 690  655    13.3095     0.0051
 690  680    13.3056     0.0050
 715    5    11.0222     0.0043
 715   30    11.0223     0.0043
 715   55    11.0222     0.0043
 715   80    11.0221     0.0043
 715  105    11.0220     0.0043
 715  130    11.0220     0.0043
 715  155    11.0219     0.0043
 715  180    11.0218     0.0043
 715  205    11.0218     0.0043
 715  230    11.0217     0.0043
 715  255    11.0217     0.0043
 715  280    11.0216     0.0043
 715  305    11.0216     0.0043
 715  330    11.0215     0.0043
 715  355    11.0215     0.0043
 715  380    11.0214     0.0043
 715  405    11.0214     0.0043
 715  430    11.0214     0.0043
 715  455    11.0214     0.0043
 715  480    11.0214     0.0043
 715  505    11.0215     0.0043
 715  530    11.0216     0.0043
 715  555    11.0218     0.0043
 715  580    11.0221     0.0043
 715  605    11.0226     0.0043
 715  630    11.0237     0.0043
 715  655    11.0264     0.0043
 715  680    11.0271     0.0043
 715  705    11.0236     0.0042
 740    5     9.1621     0.0036
 740   30     9.1622     0.0036
 740   55     9.1621     0.0036
 740   80     9.1620     0.0036
 740  105     9.1619     0.0036
 740  130     9.1619     0.0036
 740  155     9.1618     0.0036
 740  180     9.1617     0.0036
